Entity,Code,Year,Cement (tonnes),Flaring (tonnes),Oil (tonnes),Coal (tonnes),Gas (tonnes)
Africa,,1882,0,0,0,0,0
Africa,,1883,0,0,0,0,0
Africa,,1884,0,0,0,21984,0
Africa,,1885,0,0,0,36640,0
Africa,,1886,0,0,0,47632,0
Africa,,1887,0,0,0,47632,0
Africa,,1888,0,0,0,80608,0
Africa,,1889,0,0,0,131904,0
Africa,,1890,0,0,0,296784,0
Africa,,1891,0,0,0,296784,0
Africa,,1892,0,0,0,479984,0
Africa,,1893,0,0,0,1799024,0
Africa,,1894,0,0,0,2432896,0
Africa,,1895,0,0,0,3337904,0
Africa,,1896,0,0,0,4257568,0
Africa,,1897,0,0,0,4777856,0
Africa,,1898,0,0,0,6049264,0
Africa,,1899,0,0,0,5517984,0
Africa,,1900,0,0,0,2330304,0
Africa,,1901,0,0,0,3909488,0
Africa,,1902,0,0,0,5825760,0
Africa,,1903,0,0,0,7895920,0
Africa,,1904,0,0,0,8914512,0
Africa,,1905,0,0,0,10259200,0
Africa,,1906,0,0,0,11717472,0
Africa,,1907,0,0,0,12930256,0
Africa,,1908,0,0,0,13402912,0
Africa,,1909,0,0,0,15385136,0
Africa,,1910,0,0,0,17411328,0
Africa,,1911,0,0,10992,16854400,0
Africa,,1912,0,0,84272,17869328,0
Africa,,1913,0,0,40304,19565760,0
Africa,,1914,0,0,307776,19243328,0
Africa,,1915,0,0,91600,19514464,0
Africa,,1916,0,0,179536,23072208,0
Africa,,1917,0,0,425024,24922528,0
Africa,,1918,0,0,868368,23859968,0
Africa,,1919,0,0,688832,24753984,0
Africa,,1920,0,0,458000,27593584,0
Africa,,1921,0,0,560592,27425040,0
Africa,,1922,0,0,534944,23438608,0
Africa,,1923,0,0,472656,28575536,0
Africa,,1924,0,0,505632,30125408,0
Africa,,1925,0,0,556928,31623984,0
Africa,,1926,0,0,534944,33902992,0
Africa,,1927,0,0,571584,33269120,0
Africa,,1928,128240,0,824400,33815056,0
Africa,,1929,370064,0,842720,34591824,0
Africa,,1930,263808,0,879360,32554640,0
Africa,,1931,271136,0,890352,28308064,0
Africa,,1932,439680,0,835392,25354880,0
Africa,,1933,472656,0,736464,27293136,0
Africa,,1934,538608,0,681504,31316208,0
Africa,,1935,608224,0,556928,34745712,0
Africa,,1936,692496,0,560592,37768512,0
Africa,,1937,732800,0,534944,40578800,0
Africa,,1938,762112,0,703488,42557360,0
Africa,,1939,736464,0,2059168,43953344,109920
Africa,,1940,659520,0,2865248,46034496,91600
Africa,,1941,725472,0,3762928,49445680,98928
Africa,,1942,776768,0,3642016,54304144,106256
Africa,,1943,813408,0,3957120,55234800,117248
Africa,,1944,974624,0,4165968,61375664,131904
Africa,,1945,948976,0,4151312,62298992,135568
Africa,,1946,1154160,0,3942464,62940192,135568
Africa,,1947,1289728,0,4100016,62423568,135568
Africa,,1948,1432624,0,5811104,64361824,139232
Africa,,1949,1568192,0,7075184,68571760,139232
Africa,,1950,2059168,0,23881952,68996784,3664
Africa,,1951,2311984,0,26116992,72770704,3664
Africa,,1952,2385264,0,28623168,79406208,7328
Africa,,1953,2685712,0,30304944,79072784,14656
Africa,,1954,3103408,0,32715856,81795136,25648
Africa,,1955,3499120,0,34302368,91702592,25648
Africa,,1956,3616368,0,35991472,95623072,25648
Africa,,1957,3784912,0,38618560,99327376,18320
Africa,,1958,4019408,0,41571744,103159920,18320
Africa,,1959,4220928,0,41982112,101712640,32976
Africa,,1960,4433440,0,48650592,103548304,47632
Africa,,1961,4334512,0,52270624,105013904,494640
Africa,,1962,4495728,0,54538640,106670032,740128
Africa,,1963,4836480,1146832,60591568,109187200,718144
Africa,,1964,5360432,1875968,69495088,115606528,1450944
Africa,,1965,5737824,4946400,76137920,124894768,2121456
Africa,,1966,5943008,5191888,84019184,123843200,2359616
Africa,,1967,6140864,20760224,81117296,127111488,2319312
Africa,,1968,7100832,29671072,86038048,132493904,2363280
Africa,,1969,8174384,38325440,93838704,135179616,2890896
Africa,,1970,8877872,54934352,98506640,140096704,813408
Africa,,1971,9577696,55978592,115394016,149908896,1692768
Africa,,1972,10152944,64651280,119490368,153920976,4415120
Africa,,1973,10761168,80003440,128434192,154291040,5356768
Africa,,1974,11233824,81362784,134347888,157244224,5107616
Africa,,1975,11068944,64310528,143984208,162197952,6419328
Africa,,1976,11395040,77801376,151066720,171903888,8888864
Africa,,1977,12219440,71554256,159999552,176689072,13527488
Africa,,1978,12966896,71697152,165876608,178682288,34441600
Africa,,1979,13963504,87723488,181782032,197361360,19661024
Africa,,1980,15887104,76247840,198533840,212402080,34628464
Africa,,1981,17272096,52545424,214146144,237342928,29403600
Africa,,1982,18451904,44949952,236393952,250229216,23988208
Africa,,1983,20100704,41282288,244077360,260939088,30422192
Africa,,1984,20884800,45565504,251654512,286055808,47569712
Africa,,1985,20778544,51402256,252614480,294699184,48848448
Africa,,1986,19917504,53018080,255193936,305779120,58360192
Africa,,1987,21690880,44862016,245612576,312520880,67868272
Africa,,1988,23552192,49233168,263577168,322721456,68949152
Africa,,1989,24592768,22049952,269736352,313484512,71404032
Africa,,1990,24959168,20965408,243216320,296098832,75954720
Africa,,1991,26761856,20969072,257267760,307043200,78471888
Africa,,1992,27458016,23519216,259180368,289016320,74375536
Africa,,1993,27263824,21958352,262987264,319365232,81923376
Africa,,1994,28714768,21965680,257370352,331232928,85796224
Africa,,1995,30704320,24259344,276393840,347460784,101763936
Africa,,1996,31470096,23955232,281787248,353630960,108223568
Africa,,1997,32521664,23559520,306193152,361230096,95458192
Africa,,1998,33313088,23119840,316335104,355986912,112928144
Africa,,1999,34320688,23750048,295025280,366912960,114617248
Africa,,2000,36119712,55432656,314404176,370085984,115701792
Africa,,2001,38274144,58041424,298070064,371841040,120582240
Africa,,2002,40630096,67809648,287869488,360947968,135077024
Africa,,2003,40956192,62815616,328986896,390765600,146516032
Africa,,2004,45147808,73389920,354840080,417369904,151418464
Africa,,2005,49409040,73243360,336219632,412614032,183361216
Africa,,2006,55128544,71642192,370573296,418938096,179561648
Africa,,2007,60452336,74932464,381250192,430182912,193624080
Africa,,2008,65420720,70561312,407729920,454464240,195609968
Africa,,2009,70323152,59287184,438111808,443127824,193026848
Africa,,2010,71741120,62855920,432634128,441544976,201893728
Africa,,2011,72591168,55352048,432645120,433689360,221803904
Africa,,2012,82011312,57000848,436741472,430032688,233052384
Africa,,2013,84063152,53897440,459564528,424159296,233964720
Africa,,2014,86583984,53974384,450503456,456263264,249049408
Albania,ALB,1933,0,,7328,0,0
Albania,ALB,1934,0,,7328,0,0
Albania,ALB,1935,0,,18320,0,0
Albania,ALB,1936,3664,,124576,0,0
Albania,ALB,1937,7328,,289456,0,0
Albania,ALB,1938,0,,348080,0,0
Albania,ALB,1939,0,,432352,0,0
Albania,ALB,1940,0,,692496,0,0
Albania,ALB,1941,7328,,619216,0,0
Albania,ALB,1942,0,,743792,0,0
Albania,ALB,1943,0,,461664,0,0
Albania,ALB,1944,0,,153888,0,0
Albania,ALB,1945,0,,120912,0,0
Albania,ALB,1946,0,,461664,21984,0
Albania,ALB,1947,0,,926992,0,0
Albania,ALB,1948,0,,696160,7328,0
Albania,ALB,1949,0,,1014928,0,0
Albania,ALB,1950,7328,0,249152,43968,0
Albania,ALB,1951,7328,0,311440,73280,10992
Albania,ALB,1952,7328,0,282128,76944,10992
Albania,ALB,1953,7328,0,274800,113584,18320
Albania,ALB,1954,7328,0,307776,157552,29312
Albania,ALB,1955,21984,0,384720,219840,36640
Albania,ALB,1956,32976,0,509296,249152,47632
Albania,ALB,1957,36640,0,1135840,274800,58624
Albania,ALB,1958,40304,0,806080,289456,65952
Albania,ALB,1959,36640,0,992944,337088,76944
Albania,ALB,1960,36640,0,1575520,326096,84272
Albania,ALB,1961,58624,0,1817344,322432,84272
Albania,ALB,1962,58624,0,1956576,362736,84272
Albania,ALB,1963,65952,0,1648800,282128,84272
Albania,ALB,1964,62288,0,1535216,333424,84272
Albania,ALB,1965,73280,0,1623152,395712,84272
Albania,ALB,1966,69616,0,1897952,476320,102592
Albania,ALB,1967,109920,0,1916272,523952,128240
Albania,ALB,1968,150224,0,2183744,589904,146560
Albania,ALB,1969,164880,0,2220384,688832,168544
Albania,ALB,1970,179536,0,2480528,890352,186864
Albania,ALB,1971,179536,0,2938528,989280,241824
Albania,ALB,1972,197856,0,4081696,1080880,278464
Albania,ALB,1973,256480,0,3495456,1168816,366400
Albania,ALB,1974,278464,0,2421904,1209120,428688
Albania,ALB,1975,322432,0,2454880,1260416,553264
Albania,ALB,1976,348080,0,2652736,1271408,670512
Albania,ALB,1977,373728,0,2945856,1700096,699824
Albania,ALB,1978,399376,0,3282944,2125120,677840
Albania,ALB,1979,421360,0,3773920,2682048,707152
Albania,ALB,1980,498304,0,1571856,2322976,773104
Albania,ALB,1981,392048,0,3495456,2645408,806080
Albania,ALB,1982,414032,0,3143712,2879904,864704
Albania,ALB,1983,417696,0,3129056,3103408,974624
Albania,ALB,1984,428688,0,2945856,3400192,1044240
Albania,ALB,1985,425024,0,2755328,3722624,970960
Albania,ALB,1986,421360,0,2868912,3707968,1051568
Albania,ALB,1987,428688,0,2821280,3733616,450672
Albania,ALB,1988,370064,0,2575792,4015744,355408
Albania,ALB,1989,377392,0,4096352,4056048,447008
Albania,ALB,1990,373728,0,2172752,2498848,465328
Albania,ALB,1991,300448,0,2227712,1480256,274800
Albania,ALB,1992,98928,0,1414304,798752,197856
Albania,ALB,1993,98928,0,1480256,600896,157552
Albania,ALB,1994,51296,0,1604832,168544,98928
Albania,ALB,1995,98928,0,1773376,161216,51296
Albania,ALB,1996,102592,0,1755056,113584,43968
Albania,ALB,1997,51296,0,1410640,43968,36640
Albania,ALB,1998,40304,0,1626816,54960,32976
Albania,ALB,1999,51296,0,2788304,109920,29312
Albania,ALB,2000,87936,0,2843264,69616,21984
Albania,ALB,2001,0,0,3125392,80608,14656
Albania,ALB,2002,0,0,3638352,84272,25648
Albania,ALB,2003,289456,0,3891168,84272,25648
Albania,ALB,2004,285792,0,3759264,84272,32976
Albania,ALB,2005,245488,0,3913152,73280,21984
Albania,ALB,2006,260144,0,3543088,73280,21984
Albania,ALB,2007,443344,0,3378208,73280,32976
Albania,ALB,2008,458000,0,3795904,102592,14656
Albania,ALB,2009,553264,0,3414848,388384,18320
Albania,ALB,2010,648528,0,3491792,428688,25648
Albania,ALB,2011,897680,0,3773920,534944,29312
Albania,ALB,2012,1095536,0,3154704,626544,29312
Albania,ALB,2013,1146832,0,3330576,549600,32976
Albania,ALB,2014,1095536,0,3858192,699824,58624
Algeria,DZA,1900,0,,0,0,0
Algeria,DZA,1901,0,,0,0,0
Algeria,DZA,1902,0,,0,0,0
Algeria,DZA,1903,0,,0,0,0
Algeria,DZA,1904,0,,0,0,0
Algeria,DZA,1905,0,,0,0,0
Algeria,DZA,1916,0,,3664,0,0
Algeria,DZA,1917,0,,3664,3664,0
Algeria,DZA,1918,0,,3664,14656,0
Algeria,DZA,1919,0,,3664,18320,0
Algeria,DZA,1920,0,,3664,18320,0
Algeria,DZA,1921,0,,0,25648,0
Algeria,DZA,1922,0,,3664,25648,0
Algeria,DZA,1923,0,,3664,10992,0
Algeria,DZA,1924,0,,7328,25648,0
Algeria,DZA,1925,0,,7328,25648,0
Algeria,DZA,1926,0,,3664,36640,0
Algeria,DZA,1927,0,,3664,54960,0
Algeria,DZA,1928,25648,,3664,43968,0
Algeria,DZA,1929,29312,,10992,43968,0
Algeria,DZA,1930,32976,,7328,43968,0
Algeria,DZA,1931,36640,,3664,54960,0
Algeria,DZA,1932,43968,,3664,65952,0
Algeria,DZA,1933,36640,,3664,80608,0
Algeria,DZA,1934,47632,,0,91600,0
Algeria,DZA,1935,32976,,0,102592,0
Algeria,DZA,1936,32976,,0,18320,0
Algeria,DZA,1937,32976,,0,36640,0
Algeria,DZA,1938,0,,0,32976,0
Algeria,DZA,1939,0,,0,51296,109920
Algeria,DZA,1940,0,,0,146560,91600
Algeria,DZA,1941,0,,0,212512,98928
Algeria,DZA,1942,0,,0,392048,106256
Algeria,DZA,1943,40304,,0,311440,117248
Algeria,DZA,1944,47632,,3664,318768,131904
Algeria,DZA,1945,51296,,0,428688,135568
Algeria,DZA,1946,58624,,0,571584,135568
Algeria,DZA,1947,62288,,0,545936,135568
Algeria,DZA,1948,65952,,0,600896,139232
Algeria,DZA,1949,62288,,0,703488,139232
Algeria,DZA,1950,161216,0,1740400,1883296,0
Algeria,DZA,1951,223504,0,1868640,2040848,0
Algeria,DZA,1952,241824,0,1806352,1842992,0
Algeria,DZA,1953,256480,0,2194736,1546208,0
Algeria,DZA,1954,329760,0,2341296,1483920,0
Algeria,DZA,1955,337088,0,2678384,1593840,0
Algeria,DZA,1956,326096,0,2912880,1762384,0
Algeria,DZA,1957,355408,0,3209664,1974896,0
Algeria,DZA,1958,421360,0,2986160,1810016,0
Algeria,DZA,1959,476320,0,3722624,1461936,0
Algeria,DZA,1960,527616,0,4371152,1256752,0
Algeria,DZA,1961,534944,0,4312528,765776,450672
Algeria,DZA,1962,436016,0,4136656,406704,688832
Algeria,DZA,1963,439680,0,4125664,252816,604560
Algeria,DZA,1964,392048,0,3781248,282128,1190800
Algeria,DZA,1965,370064,0,4176960,263808,1777040
Algeria,DZA,1966,329760,0,5972320,271136,1850320
Algeria,DZA,1967,362736,0,6093232,190528,1791696
Algeria,DZA,1968,432352,0,6532912,201520,1883296
Algeria,DZA,1969,472656,0,7870272,450672,2476864
Algeria,DZA,1970,461664,6657488,6837024,970960,135568
Algeria,DZA,1971,479984,8980464,7617456,901344,674176
Algeria,DZA,1972,461664,16821424,7258384,648528,3136384
Algeria,DZA,1973,501968,24435216,9376176,820736,3147376
Algeria,DZA,1974,468992,18653424,9607008,699824,2451216
Algeria,DZA,1975,472656,14993088,11292448,791424,4459088
Algeria,DZA,1976,696160,20760224,11035968,586240,6063920
Algeria,DZA,1977,886688,22892672,13868240,604560,3605376
Algeria,DZA,1978,1344688,23541200,13164752,571584,23856304
Algeria,DZA,1979,1879632,19283632,15359488,894016,8167056
Algeria,DZA,1980,2070160,18686400,18620448,1608496,25479456
Algeria,DZA,1981,2224048,12944912,18155120,1908944,11164208
Algeria,DZA,1982,2191072,9258928,18642432,1974896,7170448
Algeria,DZA,1983,2396256,8405216,22020640,3147376,16608912
Algeria,DZA,1984,2758992,10981008,22768096,4026736,30510128
Algeria,DZA,1985,3037456,16407392,22504288,3077760,27699840
Algeria,DZA,1986,3216992,14425168,22760768,2726016,33085920
Algeria,DZA,1987,3759264,12116848,25091072,2967840,40117136
Algeria,DZA,1988,3587056,11061616,27285808,2975168,38973968
Algeria,DZA,1989,3396528,11772432,25153360,2986160,36672976
Algeria,DZA,1990,3158368,8694672,23204112,2942192,38908016
Algeria,DZA,1991,3147376,8654368,26065696,2689376,38428032
Algeria,DZA,1992,3187680,13897552,28678128,2377936,31931760
Algeria,DZA,1993,3187680,12941248,27992960,1923600,36097728
Algeria,DZA,1994,3019136,13205056,30451504,2286336,37387456
Algeria,DZA,1995,3400192,15579328,27080624,1934592,47221632
Algeria,DZA,1996,3238976,14399520,27406720,1406976,50566864
Algeria,DZA,1997,3535760,13325968,30019152,1381328,39006944
Algeria,DZA,1998,3737280,13333296,33089584,2110464,54641232
Algeria,DZA,1999,3737280,12952240,22189184,2172752,50922272
Algeria,DZA,2000,4136656,11109248,30865536,1967568,39710432
Algeria,DZA,2001,4136656,8430864,28458288,2095808,41029472
Algeria,DZA,2002,4484736,8592080,29495200,2608768,44653168
Algeria,DZA,2003,4484736,8258656,31942752,2788304,44026624
Algeria,DZA,2004,5481344,7005568,32818448,1923600,41209008
Algeria,DZA,2005,6379024,6184832,31052400,2363280,61210784
Algeria,DZA,2006,7324336,6422992,35233024,2700368,49306448
Algeria,DZA,2007,7914240,8991456,38321776,3011808,51076160
Algeria,DZA,2008,8669024,9526400,37361808,3008144,51548816
Algeria,DZA,2009,9335872,10585296,44891328,1593840,54894048
Algeria,DZA,2010,9519072,9610672,45363984,1216448,53366160
Algeria,DZA,2011,9467776,6932288,46921184,1047904,56722384
Algeria,DZA,2012,9467776,6723440,48540672,1036912,64116336
Algeria,DZA,2013,9218624,7042208,51918880,725472,65450032
Algeria,DZA,2014,10464384,7595472,52842208,545936,73833264
Andorra,AND,1990,0,0,406704,0,0
Andorra,AND,1991,0,0,406704,0,0
Andorra,AND,1992,0,0,406704,0,0
Andorra,AND,1993,0,0,410368,0,0
Andorra,AND,1994,0,0,406704,0,0
Andorra,AND,1995,0,0,425024,0,0
Andorra,AND,1996,0,0,454336,0,0
Andorra,AND,1997,0,0,465328,0,0
Andorra,AND,1998,0,0,490976,0,0
Andorra,AND,1999,0,0,512960,0,0
Andorra,AND,2000,0,0,523952,0,0
Andorra,AND,2001,0,0,523952,0,0
Andorra,AND,2002,0,0,531280,0,0
Andorra,AND,2003,0,0,534944,0,0
Andorra,AND,2004,0,0,560592,0,0
Andorra,AND,2005,0,0,575248,0,0
Andorra,AND,2006,0,0,545936,0,0
Andorra,AND,2007,0,0,538608,0,0
Andorra,AND,2008,0,0,538608,0,0
Andorra,AND,2009,0,0,516624,0,0
Andorra,AND,2010,0,0,516624,0,0
Andorra,AND,2011,0,0,490976,0,0
Andorra,AND,2012,0,0,487312,0,0
Andorra,AND,2013,0,0,476320,0,0
Andorra,AND,2014,0,0,461664,0,0
Angola,AGO,1950,0,0,124576,58624,0
Angola,AGO,1951,0,0,153888,95264,0
Angola,AGO,1952,0,0,190528,120912,0
Angola,AGO,1953,14656,0,190528,69616,0
Angola,AGO,1954,21984,0,252816,76944,0
Angola,AGO,1955,36640,0,293120,84272,0
Angola,AGO,1956,43968,0,417696,40304,0
Angola,AGO,1957,65952,0,472656,80608,0
Angola,AGO,1958,84272,0,465328,43968,0
Angola,AGO,1959,76944,0,487312,54960,0
Angola,AGO,1960,80608,0,348080,124576,0
Angola,AGO,1961,76944,0,311440,62288,0
Angola,AGO,1962,84272,0,1007600,91600,0
Angola,AGO,1963,95264,0,1033248,21984,0
Angola,AGO,1964,106256,0,1040576,76944,0
Angola,AGO,1965,120912,0,1011264,54960,0
Angola,AGO,1966,131904,0,1333696,87936,0
Angola,AGO,1967,139232,0,798752,54960,0
Angola,AGO,1968,153888,0,1417968,102592,0
Angola,AGO,1969,190528,0,2498848,91600,0
Angola,AGO,1970,223504,1483920,1744064,47632,84272
Angola,AGO,1971,263808,1388656,1645136,29312,84272
Angola,AGO,1972,311440,1601168,2476864,7328,109920
Angola,AGO,1973,384720,1835664,2509840,21984,124576
Angola,AGO,1974,377392,1912608,2451216,0,131904
Angola,AGO,1975,326096,1780704,2180080,0,124576
Angola,AGO,1976,150224,1088208,1934592,0,109920
Angola,AGO,1977,150224,2172752,1073552,0,135568
Angola,AGO,1978,197856,2396256,2678384,0,135568
Angola,AGO,1979,197856,2396256,2769984,0,135568
Angola,AGO,1980,120912,2414576,2656400,0,146560
Angola,AGO,1981,124576,2216720,2762656,0,172208
Angola,AGO,1982,124576,2194736,2158096,0,172208
Angola,AGO,1983,109920,2268016,2535488,0,197856
Angola,AGO,1984,175872,2315648,2290000,0,219840
Angola,AGO,1985,175872,2341296,1960240,0,219840
